"CALL","BAND","CHAN","txMHz","rxMHz","CTCSS","QTHR","NGR","WHERE","ANALOG","DMR","DSTAR","FUSION",
2E0LNX,70CM,DVU35,439.437500,430.437500,,IO90KT,,GOSPORT,,Y,,Y,
2E0XTA,70CM,RU69,430.862500,438.462500,,JO01FR,TL7006,CHELMSFORD,Y,Y,,,
2M0FPI,70CM,DVU12,439.150000,430.150000,,IO87WC,NJ9303,ABERDEEN,,,Y,Y,
GB3CP,2M,RV59,145.737500,145.137500,110.9,IO64IG,IH5181,FERMANAGH,Y,,,,
GB3FK,2M,RV60,145.750000,145.150000,103.5,JO01,TR2238,FOLKESTONE,Y,,,Y,
GB3GS,70CM,RU79,430.987500,438.587500,141.3,IO82,SS7241,PINKERY CTR  SIMONSBATH ,Y,,,,
GB3HK,70CM,RB02,433.050000,434.650000,118.8,IO85,NT5029,SELKIRK,Y,,,,
GB3XL,70CM,RU71,430.887500,438.487500,82.5,IO93CT,SE1536,SHIPLEY,Y,Y,,,
GB7DC,70CM,DMU28,439.350000,430.350000,71.9,IO92,SK3837,DERBY,Y,Y,Y,Y,
M0IDL,,RU67,430.837500,438.437500,71.9,IO90AR,SZ0192,POOLE,Y,,,,
